sequence,operation,main_thread,submission_us,latency_us,error
0,read,true,692.422,6604.171,
3,read,true,29.104,6993.242,
6,read,true,89.946,6803.941,
9,write,true,334.07,17598.002,
12,read,true,639.555,4558.242,
15,read,true,71.072,6441.3,
18,write,true,177.278,18785.912,
21,read,true,74.78,6946.485,
24,read,true,48.059,6227.684,
27,write,true,217.752,17852.944,
30,read,true,74.758,5487.443,
33,read,true,8.906,5841.848,
36,read,true,376.076,7731.809,
39,write,true,985.977,17811.527,
42,read,true,88.975,5681.011,
45,read,true,73.276,7997.752,
48,write,true,147.543,13952.991,
51,read,true,70.872,7747.999,
54,read,true,17.703,5236.127,
57,write,true,277.944,23024.702,
60,read,true,91.278,6907.272,
63,read,true,16.401,5691.932,
66,read,true,219.345,8758.84,
69,write,true,177.118,18053.745,
72,read,true,69.48,9283.384,
75,read,true,268.849,5764.447,
78,write,true,195.843,17947.068,
81,read,true,138.838,4073.785,
84,read,true,45.194,9345.929,
87,write,true,194.27,19595.691,
90,read,true,395.834,16235.428,
93,read,true,334.81,15833.023,
96,read,true,90.037,11222.934,
99,write,true,174.083,18997.614,
102,read,true,103.131,5856.105,
105,read,true,87.001,7277.838,
108,write,true,133.046,16263.43,
111,read,true,100.737,8120.539,
114,read,true,19.926,12538.952,
117,write,true,165.586,12076.014,
120,read,true,93.322,16537.066,
123,read,true,9.337,17397.12,
126,read,true,73.386,8186.221,
129,write,true,287.292,15128.969,
132,read,true,90.007,6845.608,
135,read,true,86.029,6031.641,
138,write,true,202.835,15463.369,
141,read,true,98.353,17145.234,
144,read,true,29.134,18087.869,
147,write,true,322.337,35338.327,
150,read,true,190.913,9234.462,
153,read,true,35.797,7692.116,
156,read,true,78.245,7905.943,
159,write,true,212.173,22526.009,
162,read,true,78.787,7198.371,
165,read,true,97.08,4767.45,
168,write,true,144.347,8978.438,
171,read,true,83.815,4993.808,
174,read,true,9.407,4334.709,
177,write,true,362.18,10113.771,
180,read,true,94.985,7511.641,
183,read,true,19.367,5878.968,
186,read,true,160.177,7542.369,
189,write,true,182.768,20104.393,
192,read,true,94.234,11122.278,
195,read,true,92.431,22880.855,
198,write,true,605.32,36784.123,
201,read,true,88.574,7249.075,
204,read,true,28.092,8756.617,
207,write,true,649.764,20699.226,
210,read,true,174.123,7815.334,
213,read,true,31.689,7903.747,
216,read,true,70.65,6198.85,
219,write,true,174.614,15336.162,
222,read,true,202.304,3970.133,
225,read,true,92.201,9902.619,
228,write,true,189.231,35564.084,
231,read,true,96.779,11138.349,
234,read,true,16.49,11861.367,
237,write,true,194.15,38940.438,
240,read,true,229.585,14745.849,
243,read,true,15.619,16511.49,
246,read,true,91.149,13967.708,
249,write,true,170.365,53864.667,
252,read,true,73.837,42850.439,
255,read,true,169.313,24694.514,
258,write,true,5949.879,32213.439,
261,read,true,89.286,37731.379,
264,read,true,24.866,31963.708,
267,write,true,216.161,42689.682,
270,read,true,86.46,13489.552,
273,read,true,61.844,11261.696,
276,read,true,103.772,7474.602,
279,write,true,173.301,37465.164,
282,read,true,99.996,9397.825,
285,read,true,81.23,8056.19,
288,write,true,198.598,15076.041,
291,read,true,101.607,8081.447,
294,read,true,17.633,7426.735,
297,write,true,1245.156,15676.863,
300,read,true,107.239,13128.554,
303,read,true,19.246,10491.391,
306,read,true,72.143,5310.965,
309,write,true,150.217,19000.919,
312,read,true,105.806,8036.864,
315,read,true,107.899,5965.287,
318,write,true,649.454,15651.127,
321,read,true,89.035,6190.184,
324,read,true,22.552,7722.762,
327,write,true,193.588,16745.472,
330,read,true,79.787,5032.85,
333,read,true,12.943,4232.077,
336,read,true,97.281,4953.073,
339,write,true,155.117,10316.827,
342,read,true,74.087,5504.294,
345,read,true,92.981,9237.208,
348,write,true,171.466,14538.845,
351,read,true,71.131,6266.325,
354,read,true,17.423,6887.757,
357,write,true,248.692,12958.14,
360,read,true,117.587,5975.677,
363,read,true,44.582,4953.093,
366,read,true,103.833,5197.406,
369,write,true,125.863,10953.106,
372,read,true,69.249,4473.926,
375,read,true,85.839,5669.87,
378,write,true,177.74,9762.49,
381,read,true,82.894,4805.28,
384,read,true,11.522,4287.561,
387,write,true,213.686,14202.582,
390,read,true,88.534,6025.92,
393,read,true,11.281,6633.656,
396,read,true,36.878,6345.933,
399,write,true,130.673,19079.906,
402,read,true,74.999,6355.701,
405,read,true,87.903,5123.579,
408,write,true,154.998,15759.327,
411,read,true,102.891,8862.143,
414,read,true,27.661,9251.944,
417,write,true,144.777,17645.789,
420,read,true,92.562,21385.025,
423,read,true,26.99,13436.915,
426,read,true,112.498,5561.701,
