sequence,operation,main_thread,submission_us,latency_us,error
1,read,true,24614.085,51869.352,
4,read,true,901.47,27468.101,
7,write,true,6283.737,166302.913,
10,read,true,677.615,7977.183,
13,read,true,206.453,13211.929,
16,read,true,299.324,11277.656,
19,write,true,11779.355,354389.61,
22,read,true,568.272,14937.314,
25,read,true,1100.207,44678.975,
28,write,true,2976.582,416622.123,
31,read,true,348.646,18190.719,
34,read,true,819.127,19178.479,
37,write,true,5491.551,417350.343,
40,read,true,603.909,11563.365,
43,read,true,659.712,19102.779,
46,read,true,351.24,8258.284,
49,write,true,1202.016,759979.753,
52,read,true,494.486,15120.333,
55,read,true,298.794,8941.731,
58,write,true,9087.791,427616.647,
61,read,true,1429.007,71901.912,
64,read,true,243.02,76914.285,
67,write,true,1685.652,727670.646,
70,read,true,371.258,74509.061,
73,read,true,175.385,90668.649,
76,read,true,657.507,50839.484,
79,write,true,2832.176,733928.907,
82,read,true,1966.774,192072.85,
85,read,true,434.363,154908.8,
88,write,true,1358.547,871581.761,
91,read,true,279.086,314751.971,
94,read,true,254.541,320744.108,
97,write,true,1723.622,1051629.549,
100,read,true,1717.551,385671.223,
103,read,true,605.972,389037.517,
106,read,true,400.662,347067.78,
109,write,true,1368.956,1262832.586,
112,read,true,307.31,391247.912,
115,read,true,259.952,363049.338,
118,write,true,1334.662,1266243.003,
121,read,true,469.99,528974.21,
124,read,true,438.081,537195.717,
127,write,true,2462.461,1783201.37,
130,read,true,296.859,717822.948,
133,read,true,289.286,724219.425,
136,read,true,308.13,680044.903,
139,write,true,1372.101,1974585.111,
142,read,true,296.329,922998.804,
145,read,true,307.65,880979.243,
148,write,true,1557.074,2052199.935,
151,read,true,300.386,924936.402,
154,read,true,192.056,931707.492,
157,write,true,1444.955,2179672.523,
160,read,true,288.144,1455013.115,
163,read,true,311.237,1462546.797,
166,read,true,331.704,1422594.655,
169,write,true,2988.144,2820280.98,
172,read,true,292.071,1641134.652,
175,read,true,234.263,1613912.746,
178,write,true,1044.003,3012788.115,REQUEST_TIMEOUT
181,read,true,269.84,1720240.686,
184,read,true,165.276,1732262.109,
187,write,true,1156.412,3068053.666,STORAGE_UNAVAILABLE
190,read,true,338.206,1847261.038,
193,read,true,351.241,1866354.659,
196,read,true,283.425,1853560.062,
199,write,true,1262.699,3015070.711,STORAGE_UNAVAILABLE
202,read,true,663.438,2479688.844,
205,read,true,298.722,2437508.666,
208,write,true,1561.602,3003800.59,STORAGE_UNAVAILABLE
211,read,true,291.49,2706409.561,
214,read,true,178.32,2717062.16,
217,write,true,1334.491,3004001.331,STORAGE_UNAVAILABLE
220,read,true,281.171,2731304.917,
223,read,true,1932.409,2735801.715,
226,read,true,279.948,2697254.295,
229,write,true,1336.615,3006291.613,STORAGE_UNAVAILABLE
232,read,true,327.567,2726935.806,
235,read,true,281.091,2695103.082,
238,write,true,1542.476,2864453.308,
241,read,true,280.409,2693430.785,
244,read,true,166.609,2705287.673,
247,write,true,1358.125,3004820.688,STORAGE_UNAVAILABLE
250,read,true,259.501,2717268.172,
253,read,true,233.743,2723698.8,
256,read,true,482.695,2679020.187,
259,write,true,2189.034,3004419.706,REQUEST_TIMEOUT
262,read,true,296.9,2639142.963,
265,read,true,303.472,2601809.041,
268,write,true,1203.339,3004149.305,REQUEST_TIMEOUT
271,read,true,260.251,2609101.546,
274,read,true,151.742,2625248.001,
277,write,true,1245.927,3002501.043,REQUEST_TIMEOUT
280,read,true,324.05,2724767.711,
283,read,true,250.905,2768373.799,
286,read,true,1690.551,2716955.483,
289,write,true,12896.905,3002387.613,REQUEST_TIMEOUT
292,read,true,338.286,2654196.763,
295,read,true,265.201,2636543.76,
298,write,true,14735.23,2980765.218,
301,read,true,372.75,2706609.922,
304,read,true,191.345,2721758.908,
307,write,true,2427.796,3006949.371,STORAGE_UNAVAILABLE
310,read,true,276.152,2674107.178,
313,read,true,267.646,2690955.24,
316,read,true,289.296,2657177.163,
319,write,true,1165.89,3007509.268,STORAGE_UNAVAILABLE
322,read,true,308.36,2677653.344,
325,read,true,315.645,2640942.737,
328,write,true,1695.91,2844274.817,
331,read,true,308.652,2653593.596,
334,read,true,306.768,2660945.993,
337,write,true,2342.317,2953796.361,
340,read,true,327.516,2697003.0,
343,read,true,186.284,2723612.781,
346,read,true,287.532,2683567.267,
349,write,true,1278.778,3006061.367,REQUEST_TIMEOUT
352,read,true,301.357,2660014.427,
355,read,true,340.711,2621448.323,
358,write,true,1715.857,3006658.162,STORAGE_UNAVAILABLE
361,read,true,341.392,2607331.649,
364,read,true,188.389,2623628.662,
367,write,true,2033.515,3006455.126,STORAGE_UNAVAILABLE
370,read,true,1497.002,2619651.896,
373,read,true,240.746,2636473.571,
376,read,true,273.196,2602913.196,
379,write,true,1136.715,3005249.203,REQUEST_TIMEOUT
382,read,true,253.179,2664247.838,
385,read,true,309.503,2625611.293,
