sequence,operation,main_thread,submission_us,latency_us,error
2,read,true,76045.155,234426.097,
5,read,true,9644.882,168475.908,
8,write,true,103428.289,401230.57,
11,read,true,30074.327,87072.899,
14,read,true,442.71,58384.878,
17,write,true,496.579,238734.044,
20,read,true,312.909,79527.063,
23,read,true,197.696,99864.098,
26,read,true,240.365,124550.428,
29,write,true,612.926,318357.919,
32,read,true,243.221,327435.289,
35,read,true,156.389,333417.388,
38,write,true,806.194,366434.637,
41,read,true,603.867,346386.337,
44,read,true,126.835,327875.595,
47,write,true,633.614,323362.648,
50,read,true,336.844,275825.008,
53,read,true,159.856,278849.75,
56,read,true,350.84,263644.67,
59,write,true,2393.382,274344.194,
62,read,true,332.605,272102.224,
65,read,true,341.263,183427.239,
68,write,true,380.585,207322.482,
71,read,true,324.691,165500.898,
74,read,true,165.706,176175.366,
77,write,true,636.358,170002.665,
80,read,true,1755.441,85612.926,
83,read,true,192.637,131876.486,
86,read,true,371.197,79578.318,
89,write,true,451.807,73316.903,
92,read,true,361.339,87269.914,
95,read,true,485.419,48659.647,
98,write,true,563.825,123530.609,
101,read,true,925.694,15204.599,
104,read,true,155.237,27312.773,
107,write,true,684.989,62479.052,
110,read,true,397.625,15235.164,
113,read,true,178.04,13676.158,
116,read,true,307.019,17930.637,
119,write,true,3272.099,52440.37,
122,read,true,514.143,14460.28,
125,read,true,683.907,35928.059,
128,write,true,708.121,74302.367,
131,read,true,692.774,26294.638,
134,read,true,1322.188,25802.756,
137,write,true,5016.801,71495.43,
140,read,true,365.116,20063.698,
143,read,true,78.215,22245.197,
146,read,true,874.28,11650.266,
149,write,true,408.456,31612.677,
152,read,true,773.573,17638.948,
155,read,true,383.42,12226.203,
158,write,true,426.419,20313.791,
161,read,true,284.176,11944.301,
164,read,true,52.046,12725.718,
167,write,true,397.065,32141.095,
170,read,true,227.791,33375.882,
173,read,true,74.808,9331.473,
176,read,true,321.956,14254.019,
179,write,true,330.802,51947.527,
182,read,true,234.585,11495.751,
185,read,true,234.804,8547.62,
188,write,true,293.424,37261.177,
191,read,true,284.407,11508.213,
194,read,true,76.953,10985.546,
197,write,true,302.149,25404.008,
200,read,true,170.766,6346.213,
203,read,true,36.858,8480.576,
206,read,true,269.94,18712.756,
209,write,true,183.589,29939.557,
212,read,true,232.871,33711.473,
215,read,true,165.696,13219.141,
218,write,true,277.204,13783.417,
221,read,true,203.607,7668.392,
224,read,true,447.198,5897.783,
227,write,true,483.135,23244.179,
230,read,true,198.267,15746.462,
233,read,true,75.489,13835.884,
236,read,true,663.419,9771.827,
239,write,true,202.625,23805.497,
242,read,true,165.667,5968.043,
245,read,true,189.832,13077.349,
248,write,true,139.758,25898.334,
251,read,true,261.464,9507.768,
254,read,true,68.517,10119.171,
257,write,true,303.021,10229.625,
260,read,true,205.57,7801.889,
263,read,true,31.658,8726.902,
266,read,true,222.381,9791.323,
269,write,true,197.396,17826.825,
272,read,true,193.067,6292.625,
275,read,true,285.179,28694.283,
278,write,true,282.193,34840.886,
281,read,true,205.821,22181.872,
284,read,true,236.678,16916.539,
287,write,true,310.666,39948.976,
290,read,true,200.992,14936.632,
293,read,true,54.12,14681.119,
296,read,true,176.427,5934.601,
299,write,true,255.303,11821.314,
302,read,true,224.827,17697.495,
305,read,true,216.802,15409.699,
308,write,true,385.764,100906.028,
311,read,true,244.332,38714.379,
314,read,true,66.152,41981.419,
317,write,true,273.636,71742.987,
320,read,true,260.472,14859.78,
323,read,true,208.035,27026.263,
326,read,true,239.895,22003.161,
329,write,true,192.487,76118.702,
332,read,true,248.42,19258.937,
335,read,true,229.946,15946.913,
