point,at,heap_used_bytes,heap_committed_bytes,thread_count,varstore_threads,outstanding,active_connections,queued_requests,queued_bytes,pending_deliveries,retained_request_bytes
before,2026-09-15T12:47:36.133684812Z,7390976,136314880,24,15,0,0,0,0,0,0
baseline_0s,2026-09-15T12:47:36.143835962Z,7390976,136314880,24,15,0,0,0,0,0,0
baseline_5s,2026-09-15T12:47:41.141730354Z,24168192,136314880,33,24,1,1,1,2048,1,2048
baseline_10s,2026-09-15T12:47:46.141597710Z,10375608,136314880,34,24,2,2,2,4096,2,4096
baseline_15s,2026-09-15T12:47:51.141220243Z,24007096,136314880,32,22,1,1,1,2048,1,2048
baseline_20s,2026-09-15T12:47:56.141993146Z,37638584,136314880,32,22,3,2,3,6144,3,6144
baseline_25s,2026-09-15T12:48:01.141731363Z,53367224,136314880,39,27,1,1,1,2048,1,2048
baseline_30s,2026-09-15T12:48:06.141796055Z,68047288,136314880,40,28,0,0,0,0,0,0
baseline_35s,2026-09-15T12:48:11.141750342Z,80630200,136314880,38,26,0,0,0,0,0,0
baseline_40s,2026-09-15T12:48:16.142149622Z,18994704,136314880,38,26,2,1,1,2048,1,2048
baseline_45s,2026-09-15T12:48:21.141923175Z,32626192,136314880,38,26,1,1,1,2048,1,2048
baseline_50s,2026-09-15T12:48:26.141359814Z,46257680,136314880,38,26,2,2,2,4096,2,4096
baseline_55s,2026-09-15T12:48:31.141316924Z,60937744,136314880,39,27,0,0,0,0,0,0
large_16k_0s,2026-09-15T12:48:36.217798208Z,75617808,136314880,37,25,0,0,0,0,0,0
large_16k_5s,2026-09-15T12:48:41.218040879Z,69681216,136314880,35,23,1,1,1,17408,1,17408
large_16k_10s,2026-09-15T12:48:46.218911435Z,64349120,136314880,35,23,3,2,2,34816,2,34816
large_16k_15s,2026-09-15T12:48:51.218047668Z,58074784,136314880,35,23,1,1,1,17408,1,17408
maximum_transaction_0s,2026-09-15T12:48:56.233945237Z,51899008,136314880,35,23,0,0,0,0,0,0
maximum_transaction_5s,2026-09-15T12:49:01.234124595Z,23028736,136314880,41,29,279,11,279,7494012,279,7494012
maximum_transaction_10s,2026-09-15T12:49:06.233998288Z,78798408,136314880,43,31,279,12,279,7494012,279,7494012
maximum_transaction_15s,2026-09-15T12:49:11.235551417Z,65335464,136314880,43,31,276,12,276,7468668,276,7468668
hot_key_0s,2026-09-15T12:49:19.250404027Z,73305368,136314880,43,31,0,0,0,0,0,0
hot_key_5s,2026-09-15T12:49:24.250730203Z,7112016,136314880,38,26,2,2,2,2112,2,2112
hot_key_10s,2026-09-15T12:49:29.250440198Z,16549200,136314880,37,25,1,1,1,1056,1,1056
hot_key_15s,2026-09-15T12:49:34.250546998Z,27034960,136314880,38,26,0,0,0,0,0,0
after_work,2026-09-15T12:49:39.264847464Z,37520720,136314880,37,25,0,0,0,0,0,0
after_close,2026-09-15T12:49:39.782639505Z,37520720,136314880,12,0,0,0,0,0,0,0
